data 	     	 cluster
23 	 29 	 2
51 	 25 	 2
32 	 64 	 2
61 	 50 	 2
44 	 45 	 2
99 	 29 	 2
38 	 93 	 2
79 	 65 	 2
67 	 81 	 2
101 	 58 	 2
1057 	 785 	 3
1056 	 746 	 3
1029 	 790 	 3
1042 	 769 	 3
1001 	 790 	 3
1013 	 772 	 3
1031 	 751 	 3
1052 	 717 	 3
18 	 786 	 4
12 	 762 	 4
50 	 790 	 4
39 	 765 	 4
16 	 720 	 4
99 	 781 	 4
64 	 773 	 4
24 	 746 	 4
1059 	 12 	 1
1019 	 13 	 1
1061 	 52 	 1
1046 	 39 	 1
1036 	 26 	 1
990 	 22 	 1
1008 	 38 	 1
1032 	 55 	 1
1059 	 89 	 1
963 	 11 	 1
1050 	 71 	 1
969 	 39 	 1
991 	 50 	 1
1005 	 64 	 1
1031 	 81 	 1
1049 	 93 	 1
